,name,edge,ref,raw_edge
0,Ti,4966.0,"[4969.4, 4973.6, 4977.4]",0
1,V,5465.0,"[5468.5, 5474.2, 5482.6, 5491]",0
2,Cr,5989.0,"[5991.1, 5997.8, 6006.3, 6016.7]",0
3,Mn,6539.0,"[6544.4, 6549.7, 6552.4]",0
4,Fe,7112.0,"[7120.1, 7128.7]",0
5,Co,7709.0,"[7718, 7724, 7733]",0
6,Ni,8333.0,"[8338.6, 8345, 8356, 8362]",0
7,Cu,8979.0,"[8984.5, 8990, 9001]",0
8,Zn,9659.0,"[9666, 9676, 9690]",0
9,Se,12658.0,[12665.2],0
10,Zr,17998.0,"[18008, 18027]",0
11,Nb,18986.0,"[18998, 19010, 19022, 19043]",0
12,Mo,20000.0,"[20010.5, 20024, 20036]",0
13,Ru,22117.0,[],0
14,Pd,24350.0,"[24357, 24384]",0
15,Ag,25514.0,[25542],0
16,Sn,29200.0,"[29223.7, 29245.8]",0
17,Sb,30491.0,[30511],0
18,Ta,9881.0,[],0
19,Pt,11564.0,"[11578, 11592]",0
20,Au,11919.0,"[11930, 11943, 11954, 11963]",0
21,Pb,13035.0,"[13053, 13067, 13075]",13030
