Ti;4966;[4969.4, 4973.6, 4977.4];0
V;5465;[5468.5, 5474.2, 5482.6, 5491];0
Cr;5989;[5991.1, 5997.8, 6006.3, 6016.7];0
Mn;6539;[6544.4, 6549.7, 6552.4];0
Fe;7112;[7120.1, 7128.7];0
Co;7709;[7718, 7724, 7733];0
Ni;8333;[8338.6, 8345, 8356, 8362];0
Cu;8979;[8984.5, 8990, 9001];0
Zn;9659;[9666, 9676, 9690];0
Se;12658;[12665.2];0
Zr;17998;[18008, 18027];0
Nb;18986;[18998, 19010, 19022, 19043];0
Mo;20000;[20010.5, 20024, 20036];0
Ru;22117;[];0
Pd;24350;[24357, 24384];0
Ag;25514;[25542];0
Sn;29200;[29223.7, 29245.8];0
Sb;30491;[30511];0
Ta;9881;[];0
Pt;11564;[11578, 11592];0
Au;11919;[11930, 11943, 11954, 11963];0
Pb;13035;[13053, 13067, 13075];0
